"Day","Sales","Trading Profit","Operating Expense","Net Profit"
60,19422859,5531816,4823531,708285
61,19987630,5649252,4883017,766235
62,20976335,5642000,4953507,688493
63,21052307,5698184,5014599,683585
64,21568176,5559141,5135431,423710
65,22002553,5719837,5203950,515887
66,22321796,5983728,5257683,726045
67,22439330,6057340,5326326,731014
68,22553541,6133315,5379692,753623
69,22740449,6185005,5432978,752027
70,22903825,6266665,5503881,762784
71,23533185,6399663,5575637,824026
72,23771552,6074220,5678820,395400
73,23935366,6164568,5738116,426452
74,24116612,6264495,5813533,450962
75,24726097,6432512,5866832,565680
76,24850727,6509278,5905037,604241
77,25044052,6641450,5942745,698705
78,25847984,6855220,5980121,875099
79,26370533,6472840,6017401,455439
80,26821980,6361277,6074316,286961
81,27214470,6629509,6162158,467351
82,27570656,6313317,6247509,65808
83,27778942,6473588,6305916,167672
84,27874032,6526804,6364579,182225
85,28035067,6635241,6423003,232238
86,28326539,6404620,6513947,-89327
87,28501700,6479410,6573115,-73705
88,28649877,6553617,6631657,-58040
89,28837356,6634378,6668750,-14372
90,29047455,6733248,6725756,27492
